Threads, 512 - 64, 1024 - 64, 2048 - 64, 4096 - 64
2,1.636841,13.063669,104.383286,835.669995
4,0.819313,6.541515,52.278958,417.832752
8,0.410611,3.276562,26.173882,209.327231
