Block Size, 512, 1024, 2048, 4096
8,2.959783,23.558604,187.613570,1498.388859
16,2.803700,22.429258,179.504374,1429.173995
32,2.738585,21.877903,174.782570,1395.147584
64,2.738071,21.900950,174.962962,1395.253557
128,2.705809,21.606776,172.637057,1378.789210
256,2.686386,21.421545,171.198833,1441.416506
