Nucleos, 512 - 16, 1024 - 16, 2048 - 16, 4096 - 16
1,0.296932,2.224413,17.450281,138.997774
2,0.213937,1.387858,9.714052,73.360319
4,0.182605,0.936669,5.790792,40.305320
